hour,metro_mw,wind_pu
0,4000.0093236405432,0.08952411219920059
1,4000.113585195441,0.19270032289112943
2,4000.9915009053993,0.3
3,4006.201541982918,0.40729967710887055
4,4027.7933876832535,0.5104758878007993
5,4089.2521446943483,0.6055636281607812
6,4205.3676126563905,0.6889087296526012
7,4338.598834168599,0.7573082867663998
8,4400.041769951802,0.8081337428812077
9,4338.833059432665,0.8394319042217768
10,4206.537727233828,0.8500000000000001
11,4094.0800140532033,0.8394319042217768
12,4044.644581749068,0.8081337428812077
13,4055.9886098074676,0.7573082867663999
14,4125.50597231479,0.6889087296526012
15,4263.710723309288,0.6055636281607812
16,4472.375876381472,0.5104758878007994
17,4716.531858957424,0.4072996771088707
18,4920.044437740317,0.30000000000000004
19,5000.000000697892,0.19270032289112937
20,4920.044414644423,0.08952411219920065
21,4716.531310574023,0.0
22,4472.366552741018,0.0
23,4263.597138115727,0.0
